m,name,ra_deg,dec_deg,size_arcmin,mag,type
M1,Crab Nebula,83.63321,22.01447,8,8.40,SNR
M2,,323.36254,-0.82331,8.4,6.25,GCl
M3,,205.54679,28.37544,16.2,6.39,GCl
M4,,245.89750,-26.52553,28.2,5.40,GCl
M5,,229.64063,2.08269,15,5.95,GCl
M6,Butterfly Cluster,265.08646,-32.25417,15.6,4.20,OCl
M7,Ptolemy's Cluster,268.46325,-34.79283,22.2,3.30,OCl
M8,Lagoon Nebula,270.92196,-24.38017,45,5.80,Neb
M9,,259.79908,-18.51625,6.9,8.42,GCl
M10,,254.28746,-4.09933,9.3,4.98,GCl
M11,Amas de l'Ecu de Sobieski,282.77496,-6.27003,9,5.80,OCl
M12,,251.81050,-1.94783,11.1,6.07,GCl
M13,Hercules Globular Cluster,250.42346,36.46131,16.5,5.80,GCl
M14,,264.40067,-3.24592,9.9,5.73,GCl
M15,,322.49325,12.16683,11.1,6.30,GCl
M16,Eagle Nebula,274.70071,-13.80722,120,6.00,Neb
M17,Checkmark Nebula,275.19629,-16.17153,12.6,7.00,Neb
M18,,274.99371,-17.10197,6,6.90,OCl
M19,,255.65700,-26.26794,7.5,5.57,GCl
M20,Trifid Nebula,270.67546,-22.97189,28,8.50,Neb
M21,,271.05604,-22.49006,6,5.90,OCl
M22,,279.10083,-23.90342,12.6,6.17,GCl
M23,,269.26988,-18.98533,16.8,5.50,OCl
M24,Small Sgr Star Cloud,274.23383,-18.51456,120,4.50,*Ass
M25,,277.94488,-19.11494,14.1,4.60,OCl
M26,,281.32775,-9.38361,6,8.87,OCl
M27,Dumbbell Nebula,299.90158,22.72103,6.7,7.40,PN
M28,,276.13704,-24.86983,5.1,6.90,GCl
M29,,305.99071,38.50767,3.6,6.60,OCl
M30,,325.09175,-23.17908,9,7.10,GCl
M31,Andromeda Galaxy,10.68479,41.26906,178,3.44,G
M32,,10.67429,40.86528,7.74,8.13,G
M33,Triangulum Galaxy,23.46204,30.66022,62.1,5.79,G
M34,,40.53083,42.74614,22.5,5.20,OCl
M35,,92.27108,24.33864,24,5.10,OCl
M36,,84.07392,34.14075,7.2,6.00,OCl
M37,,88.07646,32.55300,11.4,5.60,OCl
M38,,82.17704,35.85492,9.6,6.40,OCl
M39,,322.95133,48.43817,19.5,4.60,OCl
M40,Winnecke 4,185.55208,58.08306,0.8,8.40,**
M41,,101.49975,-20.75422,12,4.50,OCl
M42,Great Orion Nebula,83.81867,-5.38967,90,4.00,Cl+N
M43,Mairan's Nebula,83.88075,-5.26747,20,9.00,HII
M44,Beehive,130.09250,19.67206,109,3.10,OCl
M45,Pleiades,56.85000,24.11667,110,1.60,OCl
M46,,115.44508,-14.81000,21,6.10,OCl
