ra_deg,dec_deg,mag,name,desig
101.28722,-16.71612,-1.44,Sirius,α CMa
95.98792,-52.69566,-0.62,Canopus,α Car
213.91545,19.18241,-0.05,Arcturus,α Boo
219.91147,-60.83398,-0.01,Rigil Kentaurus,α¹ Cen
279.23460,38.78369,0.03,Vega,α Lyr
79.17225,45.99799,0.08,Capella,α Aur
78.63447,-8.20164,0.18,Rigel,β Ori
114.82550,5.22499,0.40,Procyon,α CMi
24.42834,-57.23676,0.45,Achernar,α Eri
88.79293,7.40706,0.45,Betelgeuse,α Ori
210.95594,-60.37304,0.61,Hadar,β Cen
297.69582,8.86832,0.76,Altair,α Aql
186.64966,-63.09909,0.77,Acrux,α¹ Cru
68.98016,16.50930,0.87,Aldebaran,α Tau
201.29825,-11.16132,0.98,Spica,α Vir
247.35192,-26.43200,1.06,Antares,α Sco
116.32916,28.02620,1.16,Pollux,β Gem
344.41257,-29.62224,1.17,Fomalhaut,α PsA
191.93039,-59.68876,1.25,Mimosa,β Cru
310.35798,45.28034,1.25,Deneb,α Cyg
219.90519,-60.83830,1.35,Toliman,α² Cen
152.09298,11.96721,1.36,Regulus,α Leo
104.65645,-28.97208,1.50,Adhara,ε CMa
113.64951,31.88828,1.58,Castor,α Gem
187.79144,-57.11321,1.59,Gacrux,γ Cru
263.40217,-37.10382,1.62,Shaula,λ Sco
81.28276,6.34970,1.64,Bellatrix,γ Ori
81.57297,28.60745,1.65,Elnath,β Tau
138.30061,-69.71721,1.67,Miaplacidus,β Car
84.05338,-1.20192,1.69,Alnilam,ε Ori
332.05813,-46.96097,1.73,Alnair,α Gru
85.18970,-1.94257,1.74,Alnitak,ζ Ori
122.38314,-47.33659,1.75,γ² Vel,
193.50708,55.95982,1.76,Alioth,ε UMa
51.08067,49.86118,1.79,Mirfak,α Per
276.04302,-34.38462,1.79,Kaus Australis,ε Sgr
165.93233,61.75103,1.81,Dubhe,α UMa
107.09785,-26.39320,1.83,Wezen,δ CMa
206.88531,49.31327,1.85,Alkaid,η UMa
125.62854,-59.50948,1.86,Avior,ε Car
264.32970,-42.99782,1.86,Sargas,θ Sco
89.88224,44.94743,1.90,Menkalinan,β Aur
252.16616,-69.02772,1.91,Atria,α TrA
99.42792,16.39925,1.93,Alhena,γ Gem
131.17588,-54.70882,1.93,Alsephina,δ Vel
306.41188,-56.73509,1.94,Peacock,α Pav
37.94625,89.26411,1.97,Polaris,α UMi
95.67494,-17.95592,1.98,Mirzam,β CMa
141.89685,-8.65860,1.99,Alphard,α Hya
31.79333,23.46242,2.01,Hamal,α Ari
154.99309,19.84149,2.01,Algieba,γ¹ Leo
10.89735,-17.98661,2.04,Diphda,β Cet
283.81635,-26.29672,2.05,Nunki,σ Sgr
211.67093,-36.36995,2.06,Menkent,θ Cen
2.09687,29.09043,2.07,Alpheratz,α And
17.43291,35.62056,2.07,Mirach,β And
86.93912,-9.66961,2.07,Saiph,κ Ori
222.67658,74.15551,2.07,Kochab,β UMi
340.66672,-46.88458,2.07,Tiaki,β Gru
263.73361,12.56003,2.08,Rasalhague,α Oph
47.04222,40.95565,2.09,Algol,β Per
30.97476,42.32973,2.10,Almach,γ¹ And
177.26494,14.57206,2.14,Denebola,β Leo
14.17714,60.71674,2.15,Cih,γ Cas
190.37957,-48.95989,2.20,γ Cen,
120.89606,-40.00315,2.21,Naos,ζ Pup
139.27257,-59.27523,2.21,Aspidiske,ι Car
233.67192,26.71469,2.22,Alphecca,α CrB
136.99902,-43.43259,2.23,Suhail,λ Vel
200.98120,54.92536,2.23,Mizar,ζ UMa
305.55710,40.25668,2.23,Sadr,γ Cyg
10.12674,56.53733,2.24,Schedar,α Cas
269.15155,51.48889,2.24,Eltanin,γ Dra
83.00168,-0.29909,2.25,Mintaka,δ Ori
2.29331,59.14978,2.28,Caph,β Cas
204.97194,-53.46639,2.29,ε Cen,
240.08335,-22.62171,2.29,Dschubba,δ Sco
252.54120,-34.29323,2.29,Larawag,ε Sco
220.48235,-47.38820,2.30,α Lup,
